day,obs_rain,wrf_rain
01-06-10,,0.17
02-06-10,,0.0
03-06-10,0.0,0.0
04-06-10,0.0,0.0
05-06-10,0.0,0.0
06-06-10,0.0,0.0
07-06-10,,0.0
08-06-10,0.0,3.93
09-06-10,0.4,6.8
10-06-10,0.9,7.94
11-06-10,,3.33
12-06-10,2.0,1.43
13-06-10,0.0,4.28
14-06-10,0.0,4.59
15-06-10,0.0,4.24
16-06-10,,0.12
17-06-10,0.0,2.72
18-06-10,,0.03
19-06-10,,0.06
20-06-10,0.0,0.03
21-06-10,0.0,0.0
22-06-10,0.0,0.02
23-06-10,0.0,6.11
24-06-10,0.4,1.53
25-06-10,0.0,1.14
26-06-10,0.0,0.32
27-06-10,0.0,0.98
28-06-10,0.0,1.14
29-06-10,2.2,1.04
30-06-10,,4.25
01-07-10,1.0,0.51
01-07-10,1.0,0.51
02-07-10,,0.0
03-07-10,0.0,0.0
04-07-10,0.0,0.18
05-07-10,0.0,1.0
06-07-10,0.0,1.34
07-07-10,,2.48
08-07-10,,0.04
09-07-10,,0.04
10-07-10,,0.46
11-07-10,,2.37
12-07-10,,0.01
13-07-10,,3.06
14-07-10,,1.34
15-07-10,,1.42
16-07-10,,2.48
17-07-10,0.0,4.04
18-07-10,5.2,5.43
19-07-10,11.2,0.0
20-07-10,0.0,2.56
21-07-10,0.0,1.05
22-07-10,0.0,0.77
23-07-10,0.0,2.45
24-07-10,0.0,6.07
25-07-10,0.0,2.49
26-07-10,,0.19
27-07-10,0.0,0.88
28-07-10,0.0,0.77
29-07-10,,1.31
30-07-10,0.0,1.41
31-07-10,,0.76
01-08-10,,0.02
02-08-10,,0.69
03-08-10,,3.89
04-08-10,,1.39
05-08-10,,0.58
06-08-10,,0.16
07-08-10,,0.0
08-08-10,,0.29
09-08-10,,0.03
10-08-10,,0.0
11-08-10,,0.0
12-08-10,,0.0
13-08-10,,0.59
14-08-10,,0.56
15-08-10,,0.45
16-08-10,,1.4
17-08-10,,0.0
18-08-10,,0.01
19-08-10,,0.68
20-08-10,0.0,0.0
21-08-10,0.0,0.0
22-08-10,0.0,5.68
23-08-10,0.0,0.02
24-08-10,0.0,2.34
25-08-10,,0.77
26-08-10,0.0,0.97
27-08-10,0.0,2.16
28-08-10,,1.07
29-08-10,,1.28
30-08-10,0.0,2.69
31-08-10,0.0,1.33
31-08-10,0.0,1.33
01-09-10,5.0,0.0
01-09-10,5.0,0.0
02-09-10,0.3,3.51
03-09-10,15.0,4.46
04-09-10,,0.24
05-09-10,,0.15
06-09-10,0.0,0.0
07-09-10,0.0,0.0
08-09-10,0.0,0.0
09-09-10,0.0,0.0
10-09-10,0.0,0.0
11-09-10,0.0,0.0
12-09-10,0.0,0.14
13-09-10,,0.52
14-09-10,23.2,3.97
15-09-10,0.0,0.72
16-09-10,0.9,0.24
17-09-10,,0.2
18-09-10,0.0,0.18
19-09-10,0.0,0.41
20-09-10,0.0,0.0
21-09-10,,0.15
22-09-10,0.0,0.25
23-09-10,0.0,0.23
24-09-10,0.0,0.16
25-09-10,0.0,0.0
26-09-10,0.0,0.29
27-09-10,,0.0
28-09-10,0.0,0.2
29-09-10,0.0,1.61
30-09-10,7.0,0.0
01-10-10,0.0,2.05
02-10-10,0.0,0.0
03-10-10,0.0,0.61
04-10-10,0.0,0.01
05-10-10,0.0,0.0
06-10-10,0.0,0.0
07-10-10,0.0,0.0
08-10-10,,0.0
09-10-10,,0.0
10-10-10,,0.0
11-10-10,,0.0
12-10-10,,0.0
13-10-10,,0.0
14-10-10,,0.0
15-10-10,,0.0
16-10-10,,0.44
17-10-10,0.0,0.97
18-10-10,2.0,0.0
19-10-10,0.0,0.07
20-10-10,0.0,0.28
21-10-10,0.0,0.18
22-10-10,0.0,0.07
23-10-10,0.0,0.0
24-10-10,0.0,0.74
25-10-10,0.0,0.0
26-10-10,0.4,0.08
27-10-10,0.0,0.92
28-10-10,0.0,0.84
29-10-10,0.0,0.0
30-10-10,0.0,0.0
31-10-10,0.0,1.01
01-11-10,0.0,0.8
02-11-10,0.0,0.0
03-11-10,0.0,0.0
04-11-10,0.0,0.0
05-11-10,0.0,0.0
06-11-10,3.0,0.0
07-11-10,,3.21
08-11-10,3.4,0.18
09-11-10,0.0,0.35
10-11-10,0.0,1.62
11-11-10,11.0,13.72
12-11-10,,9.22
13-11-10,,3.79
14-11-10,15.0,19.12
15-11-10,16.6,20.93
16-11-10,2.0,11.87
17-11-10,42.6,0.2
18-11-10,0.0,0.26
19-11-10,0.0,0.06
20-11-10,2.7,0.0
21-11-10,,0.0
22-11-10,0.0,0.04
23-11-10,0.0,0.83
24-11-10,0.0,0.0
25-11-10,0.0,0.24
26-11-10,0.0,1.69
27-11-10,,0.0
28-11-10,0.0,0.0
29-11-10,0.0,0.0
30-11-10,0.0,0.0
01-12-10,0.0,5.13
01-12-10,,5.13
02-12-10,0.0,1.86
03-12-10,0.0,0.21
04-12-10,0.0,0.1
05-12-10,0.0,0.0
06-12-10,3.0,0.05
07-12-10,19.0,18.74
08-12-10,2.1,19.57
09-12-10,14.0,6.64
10-12-10,0.0,14.85
11-12-10,28.0,2.48
12-12-10,,2.19
13-12-10,0.0,0.13
14-12-10,,0.24
15-12-10,0.0,0.0
16-12-10,0.0,0.0
17-12-10,0.0,0.0
18-12-10,0.0,0.2
19-12-10,0.0,0.84
20-12-10,0.0,2.5
21-12-10,0.0,6.95
22-12-10,0.0,2.62
23-12-10,0.0,1.25
24-12-10,0.0,4.03
25-12-10,,6.0
