day,obs_rain,wrf_rain
01-06-10,,6.97
02-06-10,,8.01
03-06-10,,2.85
04-06-10,,15.63
05-06-10,,18.86
06-06-10,,11.65
07-06-10,,4.08
08-06-10,2.0,0.02
09-06-10,,3.19
10-06-10,,7.48
11-06-10,,6.38
12-06-10,,4.94
13-06-10,,10.13
14-06-10,,15.76
15-06-10,,9.78
16-06-10,,19.83
17-06-10,,4.88
18-06-10,,3.73
19-06-10,,5.29
20-06-10,,5.46
21-06-10,,4.25
22-06-10,,11.65
23-06-10,,4.39
24-06-10,,4.48
25-06-10,,1.47
26-06-10,7.0,7.18
27-06-10,,8.97
28-06-10,,8.35
29-06-10,3.0,4.67
30-06-10,7.0,8.79
01-07-10,,17.52
02-07-10,,15.7
03-07-10,11.0,7.66
04-07-10,6.0,4.66
05-07-10,13.0,0.7
06-07-10,,3.88
07-07-10,,4.43
08-07-10,,8.59
09-07-10,,9.98
10-07-10,,6.44
11-07-10,,5.06
12-07-10,,7.76
13-07-10,,0.09
14-07-10,,1.09
15-07-10,2.0,4.18
16-07-10,,0.89
17-07-10,12.0,3.99
18-07-10,,3.89
19-07-10,0.5,3.07
20-07-10,13.0,16.47
21-07-10,28.0,9.85
22-07-10,3.0,3.01
23-07-10,2.0,0.0
24-07-10,0.0,0.11
25-07-10,6.0,0.17
26-07-10,8.0,2.1
27-07-10,6.0,8.07
28-07-10,29.0,11.95
29-07-10,17.0,0.66
30-07-10,0.0,0.0
31-07-10,0.0,10.89
01-08-10,19.0,45.9
02-08-10,0.5,11.33
03-08-10,,13.29
04-08-10,,13.35
05-08-10,,4.39
06-08-10,,8.0
07-08-10,,14.21
08-08-10,,60.38
09-08-10,,21.23
10-08-10,,24.84
11-08-10,,7.7
12-08-10,,0.09
13-08-10,,0.62
14-08-10,,6.18
15-08-10,,2.93
16-08-10,,0.0
17-08-10,,0.0
18-08-10,,0.34
19-08-10,,0.0
20-08-10,0.0,0.0
21-08-10,3.0,0.0
22-08-10,8.0,0.0
23-08-10,,0.0
24-08-10,0.0,0.0
25-08-10,,0.0
26-08-10,5.0,0.56
27-08-10,35.0,1.78
28-08-10,,7.4
29-08-10,68.0,23.54
30-08-10,10.0,8.05
31-08-10,0.4,7.42
01-09-10,2.0,17.89
02-09-10,2.0,28.89
03-09-10,1.0,31.0
04-09-10,5.0,16.32
05-09-10,5.0,19.06
06-09-10,5.0,7.02
07-09-10,3.0,4.14
08-09-10,1.0,10.3
09-09-10,0.0,7.08
10-09-10,,6.72
11-09-10,,27.25
12-09-10,4.0,24.41
13-09-10,20.0,4.11
14-09-10,17.0,0.62
15-09-10,0.0,8.91
16-09-10,2.0,4.69
17-09-10,,7.4
18-09-10,5.0,31.11
19-09-10,13.0,3.15
20-09-10,7.0,23.74
21-09-10,0.0,49.89
22-09-10,,26.57
23-09-10,2.0,14.09
24-09-10,0.0,9.44
25-09-10,5.0,8.62
26-09-10,8.0,7.72
27-09-10,0.0,0.0
28-09-10,0.0,0.31
29-09-10,,2.24
30-09-10,0.0,6.03
01-10-10,0.0,15.91
02-10-10,2.0,5.35
03-10-10,,5.82
04-10-10,11.0,2.57
05-10-10,6.0,5.9
06-10-10,,22.88
07-10-10,19.0,6.67
08-10-10,,10.25
09-10-10,,1.7
10-10-10,,0.05
11-10-10,,0.0
12-10-10,,0.0
13-10-10,,0.0
14-10-10,,0.0
15-10-10,,0.0
16-10-10,2.0,0.0
17-10-10,,3.54
18-10-10,0.0,12.25
19-10-10,11.0,10.35
20-10-10,,2.53
21-10-10,0.4,0.88
22-10-10,0.0,0.0
23-10-10,0.0,0.18
24-10-10,0.0,1.04
25-10-10,,2.15
26-10-10,8.0,0.01
27-10-10,,0.0
28-10-10,0.0,0.0
29-10-10,0.0,1.0
30-10-10,0.0,0.34
31-10-10,,0.0
01-11-10,3.0,6.17
02-11-10,0.7,1.26
03-11-10,,0.25
04-11-10,,0.16
05-11-10,6.0,0.0
06-11-10,0.0,0.0
07-11-10,0.0,1.04
08-11-10,,3.86
09-11-10,,0.0
10-11-10,0.6,0.0
11-11-10,,0.0
12-11-10,0.0,0.0
13-11-10,0.0,0.0
14-11-10,0.0,0.0
15-11-10,0.0,0.0
16-11-10,0.0,0.0
17-11-10,0.0,0.0
18-11-10,0.0,0.0
19-11-10,0.0,0.0
20-11-10,0.0,0.0
21-11-10,0.0,0.0
22-11-10,0.0,0.0
23-11-10,0.0,0.0
24-11-10,0.0,0.0
25-11-10,0.0,0.0
26-11-10,0.0,0.0
27-11-10,0.0,0.0
28-11-10,0.0,0.0
29-11-10,0.0,0.28
30-11-10,,0.33
01-12-10,,0.0
01-12-10,,0.0
02-12-10,0.0,0.0
03-12-10,0.0,0.0
04-12-10,,0.0
05-12-10,,0.0
06-12-10,,0.69
07-12-10,,0.21
08-12-10,0.0,0.31
09-12-10,0.0,0.02
10-12-10,,0.0
11-12-10,,0.0
12-12-10,41.0,0.0
13-12-10,10.0,0.0
14-12-10,,0.0
15-12-10,0.0,0.0
16-12-10,,0.0
17-12-10,0.0,0.0
18-12-10,0.0,0.0
19-12-10,,0.0
20-12-10,0.0,0.0
21-12-10,0.0,0.0
22-12-10,,0.0
23-12-10,0.0,0.0
24-12-10,0.6,0.04
25-12-10,0.8,0.0
26-12-10,9.0,0.0
27-12-10,33.0,0.0
28-12-10,14.0,0.0
29-12-10,,0.0
30-12-10,15.0,0.0
31-12-10,0.4,0.0
01-01-11,,0.0
02-01-11,0.0,0.0
03-01-11,0.0,0.0
04-01-11,0.0,0.0
05-01-11,0.0,0.0
06-01-11,0.4,0.0
07-01-11,,0.0
08-01-11,0.0,0.0
09-01-11,,0.0
10-01-11,0.0,0.0
11-01-11,,0.0
12-01-11,0.0,1.49
13-01-11,0.0,0.0
14-01-11,,0.07
15-01-11,0.0,0.0
16-01-11,0.0,0.0
17-01-11,0.0,0.0
18-01-11,0.0,0.22
19-01-11,0.0,0.0
20-01-11,,0.18
21-01-11,0.0,0.25
22-01-11,0.0,0.0
23-01-11,0.0,0.0
24-01-11,0.0,0.0
25-01-11,0.0,0.0
26-01-11,0.0,0.0
27-01-11,0.0,0.0
28-01-11,0.0,0.0
29-01-11,0.0,0.0
30-01-11,0.0,0.0
31-01-11,0.0,0.0
01-02-11,,0.76
02-02-11,13.0,0.22
03-02-11,0.0,0.0
04-02-11,0.5,0.0
05-02-11,0.0,0.0
06-02-11,0.0,0.0
07-02-11,0.0,0.0
08-02-11,0.0,0.0
09-02-11,0.0,0.0
10-02-11,0.0,0.0
11-02-11,0.0,0.39
12-02-11,0.0,1.52
13-02-11,0.5,6.72
14-02-11,,0.93
15-02-11,0.0,3.21
16-02-11,0.0,7.95
17-02-11,0.0,0.0
18-02-11,6.0,0.0
19-02-11,14.0,0.0
20-02-11,0.0,0.0
21-02-11,0.0,0.0
22-02-11,,0.0
23-02-11,0.0,0.0
24-02-11,0.0,0.0
25-02-11,0.0,0.0
26-02-11,0.0,0.0
27-02-11,0.0,0.0
28-02-11,0.0,0.0
01-03-11,0.0,0.0
02-03-11,0.0,0.0
03-03-11,0.0,0.0
04-03-11,0.0,0.0
05-03-11,0.0,0.0
06-03-11,0.0,0.02
07-03-11,0.4,0.0
08-03-11,0.0,0.0
09-03-11,0.0,0.0
10-03-11,0.0,0.0
11-03-11,0.0,0.0
12-03-11,0.0,1.07
13-03-11,,0.0
14-03-11,1.0,0.0
15-03-11,0.0,0.8
16-03-11,24.0,3.66
17-03-11,19.0,14.74
18-03-11,0.6,24.68
19-03-11,3.0,74.92
