day,obs_rain,wrf_rain
01-06-10,0.0,0.0
02-06-10,,0.07
03-06-10,1.0,0.0
04-06-10,20.0,0.2
05-06-10,0.0,0.95
06-06-10,,0.0
07-06-10,,0.09
08-06-10,,0.06
09-06-10,0.0,0.0
10-06-10,0.0,0.06
11-06-10,0.0,0.31
12-06-10,25.0,0.0
13-06-10,,0.0
14-06-10,0.0,0.0
15-06-10,0.0,0.0
16-06-10,0.0,0.0
17-06-10,0.0,0.0
18-06-10,26.0,0.0
19-06-10,,0.0
20-06-10,,0.14
21-06-10,0.2,0.07
22-06-10,0.0,0.0
23-06-10,0.0,0.02
24-06-10,0.0,0.02
25-06-10,0.0,0.0
26-06-10,0.0,0.0
27-06-10,0.0,0.9
28-06-10,11.0,0.02
29-06-10,3.0,0.0
30-06-10,0.0,0.0
01-07-10,0.0,0.0
02-07-10,0.0,0.01
03-07-10,0.0,0.0
04-07-10,0.0,0.0
05-07-10,0.0,0.0
06-07-10,0.0,0.0
07-07-10,,0.0
08-07-10,,0.0
09-07-10,,0.0
10-07-10,,0.01
11-07-10,,0.0
12-07-10,,0.01
13-07-10,,0.0
14-07-10,,0.0
15-07-10,,0.0
16-07-10,,0.18
17-07-10,,0.01
18-07-10,0.0,0.01
19-07-10,15.0,0.01
20-07-10,2.0,0.0
21-07-10,0.2,0.0
22-07-10,1.0,0.0
23-07-10,23.0,0.0
24-07-10,,0.0
25-07-10,0.0,0.0
26-07-10,0.6,0.0
27-07-10,0.0,0.0
28-07-10,,0.0
29-07-10,1.0,0.0
30-07-10,,0.0
31-07-10,0.0,0.0
01-08-10,0.0,0.28
02-08-10,0.0,0.0
03-08-10,,0.0
04-08-10,,0.0
05-08-10,,0.0
06-08-10,,0.0
07-08-10,,0.0
08-08-10,,0.0
09-08-10,,0.0
10-08-10,,0.0
11-08-10,,0.05
12-08-10,,0.0
13-08-10,,0.0
14-08-10,,0.0
15-08-10,,0.0
16-08-10,,0.0
17-08-10,,0.0
18-08-10,,0.0
19-08-10,,0.0
20-08-10,0.0,0.0
21-08-10,,4.43
22-08-10,,1.61
23-08-10,0.0,0.0
24-08-10,0.0,0.0
25-08-10,0.0,1.48
26-08-10,5.0,0.0
27-08-10,,0.0
28-08-10,,2.21
29-08-10,2.0,0.72
30-08-10,12.0,0.01
31-08-10,0.0,0.0
01-09-10,0.0,4.17
02-09-10,,0.0
03-09-10,0.0,0.0
04-09-10,,0.0
05-09-10,,3.81
06-09-10,3.0,0.0
07-09-10,1.0,2.56
08-09-10,0.0,0.0
09-09-10,0.0,0.0
10-09-10,,0.92
11-09-10,,2.85
12-09-10,,1.19
13-09-10,,0.25
14-09-10,,0.0
15-09-10,,2.07
16-09-10,,3.36
17-09-10,,0.1
18-09-10,,1.61
19-09-10,,0.05
20-09-10,,0.0
21-09-10,,5.85
22-09-10,1.0,0.0
23-09-10,,1.94
24-09-10,0.0,0.96
25-09-10,,0.0
26-09-10,0.0,0.03
27-09-10,0.0,0.02
28-09-10,,0.0
29-09-10,0.0,0.23
30-09-10,9.0,0.0
01-10-10,,0.0
02-10-10,,0.21
03-10-10,,1.81
04-10-10,,0.77
05-10-10,,0.0
06-10-10,0.0,0.01
07-10-10,0.0,0.73
08-10-10,,1.49
09-10-10,,3.82
10-10-10,,3.12
11-10-10,,0.01
12-10-10,,0.0
13-10-10,,0.0
14-10-10,,0.0
15-10-10,,0.0
16-10-10,,0.0
17-10-10,,0.11
18-10-10,,0.02
19-10-10,0.0,0.0
20-10-10,3.0,1.87
21-10-10,,2.46
22-10-10,10.0,2.52
23-10-10,,3.22
24-10-10,,2.65
25-10-10,,2.79
26-10-10,,3.39
27-10-10,,0.0
28-10-10,,0.16
29-10-10,,0.0
30-10-10,,0.0
31-10-10,,0.0
01-11-10,,0.0
02-11-10,,0.53
03-11-10,,0.0
04-11-10,,0.0
05-11-10,,0.0
06-11-10,,0.0
07-11-10,,0.0
08-11-10,0.4,0.0
09-11-10,,0.0
10-11-10,9.0,0.06
11-11-10,0.0,0.0
12-11-10,0.0,0.0
13-11-10,,0.0
14-11-10,,0.0
15-11-10,13.0,0.0
16-11-10,,0.0
17-11-10,15.0,0.0
18-11-10,2.0,0.0
19-11-10,18.0,0.58
20-11-10,0.0,0.0
21-11-10,0.0,0.0
22-11-10,0.0,0.0
23-11-10,7.0,0.0
24-11-10,0.0,0.0
25-11-10,,0.0
