day,obs_rain,wrf_rain
01-06-10,,0.0
02-06-10,0.0,0.0
03-06-10,0.0,0.04
04-06-10,,0.11
05-06-10,0.0,0.0
06-06-10,,0.0
07-06-10,0.0,0.0
08-06-10,0.0,0.0
09-06-10,0.0,0.14
10-06-10,2.0,0.4
11-06-10,0.0,0.12
12-06-10,0.3,0.0
13-06-10,0.0,0.12
14-06-10,,0.0
15-06-10,0.0,0.0
16-06-10,0.0,0.0
17-06-10,0.0,0.0
18-06-10,,1.01
19-06-10,,1.12
20-06-10,,1.14
21-06-10,0.0,0.08
22-06-10,,0.0
23-06-10,0.1,0.0
24-06-10,0.0,0.58
25-06-10,0.0,0.73
26-06-10,,0.36
27-06-10,0.0,0.0
28-06-10,0.0,0.0
29-06-10,0.0,0.0
30-06-10,0.0,0.33
01-07-10,0.0,0.43
02-07-10,,0.29
03-07-10,0.0,0.0
04-07-10,0.0,0.0
05-07-10,0.0,0.0
06-07-10,0.0,0.0
07-07-10,,0.35
08-07-10,,0.0
09-07-10,,0.0
10-07-10,,0.0
11-07-10,,0.0
12-07-10,,0.05
13-07-10,,0.0
14-07-10,,0.31
15-07-10,,0.0
16-07-10,,0.04
17-07-10,0.0,0.97
18-07-10,0.0,0.01
19-07-10,2.0,0.0
20-07-10,0.0,0.0
21-07-10,0.0,0.01
22-07-10,0.0,1.07
23-07-10,0.0,0.09
24-07-10,0.0,0.0
25-07-10,0.0,0.0
26-07-10,0.0,0.0
27-07-10,0.0,0.06
28-07-10,0.0,0.0
29-07-10,0.0,0.0
30-07-10,0.0,0.0
31-07-10,0.0,0.01
01-08-10,0.0,0.0
02-08-10,,0.0
03-08-10,,0.0
04-08-10,,0.01
05-08-10,,0.0
06-08-10,,0.0
07-08-10,,0.35
08-08-10,,0.02
09-08-10,,0.0
10-08-10,,0.0
11-08-10,,0.07
12-08-10,,2.13
13-08-10,,0.0
14-08-10,,0.0
15-08-10,,0.0
16-08-10,,0.0
17-08-10,,0.05
18-08-10,,0.0
19-08-10,,0.0
20-08-10,0.0,0.0
21-08-10,,0.0
22-08-10,,0.0
23-08-10,0.0,0.0
24-08-10,0.0,0.0
25-08-10,0.0,0.0
26-08-10,0.0,0.0
27-08-10,0.0,0.0
28-08-10,0.0,0.0
29-08-10,0.0,0.0
30-08-10,0.0,0.0
31-08-10,0.0,0.0
01-09-10,0.0,0.0
02-09-10,0.0,0.05
03-09-10,0.0,0.32
04-09-10,0.0,0.0
05-09-10,0.0,0.0
06-09-10,0.0,0.0
07-09-10,0.0,0.0
08-09-10,0.0,0.0
09-09-10,0.0,0.0
10-09-10,0.0,0.0
11-09-10,0.0,0.0
12-09-10,0.0,0.0
13-09-10,0.0,0.0
14-09-10,0.0,0.23
15-09-10,0.6,0.0
16-09-10,0.0,0.0
17-09-10,0.0,0.08
18-09-10,0.0,0.03
19-09-10,0.0,0.0
20-09-10,0.0,0.0
21-09-10,0.0,0.0
22-09-10,0.0,0.0
23-09-10,0.0,0.0
24-09-10,0.0,0.0
25-09-10,0.0,0.01
26-09-10,0.0,0.0
27-09-10,0.0,0.0
28-09-10,0.0,0.02
29-09-10,0.0,0.0
30-09-10,1.0,0.33
01-10-10,0.0,0.0
01-10-10,0.0,0.0
02-10-10,0.0,0.0
03-10-10,0.0,0.0
04-10-10,0.0,0.0
05-10-10,0.0,0.0
06-10-10,0.0,0.0
07-10-10,0.0,0.0
08-10-10,,0.0
09-10-10,,0.0
10-10-10,,0.0
11-10-10,,0.0
12-10-10,,0.0
13-10-10,,0.0
14-10-10,,0.0
15-10-10,,0.0
16-10-10,,0.0
17-10-10,0.0,0.0
18-10-10,0.0,0.0
19-10-10,0.0,0.0
20-10-10,0.0,0.0
21-10-10,0.0,0.0
22-10-10,,0.0
23-10-10,0.0,0.0
24-10-10,0.0,0.0
25-10-10,0.0,0.0
26-10-10,0.0,0.0
27-10-10,,0.0
28-10-10,0.0,0.0
29-10-10,0.0,0.0
30-10-10,0.0,0.0
31-10-10,0.0,0.0
01-11-10,0.0,0.0
02-11-10,0.0,0.0
03-11-10,0.0,0.0
04-11-10,,0.0
05-11-10,0.2,0.1
06-11-10,0.0,0.0
07-11-10,0.0,0.0
08-11-10,0.0,0.0
09-11-10,0.0,0.0
10-11-10,0.0,0.0
11-11-10,0.0,0.0
12-11-10,80.0,0.0
13-11-10,0.0,0.0
14-11-10,0.0,2.5
15-11-10,0.2,0.0
16-11-10,30.0,0.09
17-11-10,1.0,0.0
18-11-10,0.0,0.0
19-11-10,,0.88
20-11-10,0.0,0.0
21-11-10,0.0,0.0
22-11-10,0.0,0.0
23-11-10,0.0,0.0
24-11-10,0.0,0.0
25-11-10,0.0,0.0
26-11-10,0.0,0.0
27-11-10,0.0,0.0
28-11-10,0.0,0.0
29-11-10,0.0,0.0
30-11-10,0.0,0.0
01-12-10,0.0,2.03
01-12-10,,2.03
02-12-10,0.0,0.78
03-12-10,0.0,0.0
04-12-10,,0.0
05-12-10,7.0,0.0
06-12-10,,1.55
07-12-10,1.0,4.46
08-12-10,0.0,3.96
09-12-10,3.0,2.0
10-12-10,8.0,0.0
11-12-10,0.0,0.0
12-12-10,0.0,0.0
13-12-10,25.0,0.0
14-12-10,0.0,0.0
15-12-10,4.0,0.0
16-12-10,0.0,0.0
17-12-10,0.2,0.0
18-12-10,0.0,0.0
19-12-10,0.0,0.0
20-12-10,0.0,0.0
21-12-10,0.0,0.01
22-12-10,0.0,0.25
23-12-10,,0.77
24-12-10,2.0,0.0
25-12-10,0.0,0.03
26-12-10,1.0,0.0
27-12-10,0.1,0.0
28-12-10,4.0,0.17
29-12-10,0.0,0.0
30-12-10,0.0,0.0
31-12-10,1.0,0.0
01-01-11,,1.16
02-01-11,0.0,0.0
03-01-11,0.0,0.05
04-01-11,0.0,0.0
05-01-11,0.0,0.0
06-01-11,0.0,0.0
07-01-11,0.0,0.0
08-01-11,0.0,0.13
09-01-11,0.0,0.1
10-01-11,0.4,0.72
11-01-11,0.0,3.69
12-01-11,0.0,0.03
13-01-11,0.0,0.0
14-01-11,2.0,0.0
15-01-11,0.0,0.0
16-01-11,0.0,0.0
17-01-11,3.0,0.0
18-01-11,0.0,0.0
19-01-11,0.0,0.0
20-01-11,0.0,0.08
21-01-11,0.0,0.26
22-01-11,0.0,0.0
23-01-11,0.0,0.0
24-01-11,0.0,0.0
25-01-11,0.0,0.0
26-01-11,0.0,0.0
27-01-11,0.0,0.0
28-01-11,0.0,0.0
29-01-11,0.0,0.0
29-01-11,0.0,0.0
