day,obs_rain,wrf_rain
01-06-10,,0.98
02-06-10,,0.56
03-06-10,,3.16
04-06-10,,5.82
05-06-10,,3.68
06-06-10,0.0,1.67
07-06-10,1.0,5.04
08-06-10,5.0,0.0
09-06-10,1.0,0.01
10-06-10,,2.22
11-06-10,,0.29
12-06-10,,0.0
13-06-10,,0.0
14-06-10,0.0,7.53
15-06-10,,4.19
16-06-10,,0.48
17-06-10,,0.0
18-06-10,0.5,0.0
19-06-10,,0.04
20-06-10,,0.09
21-06-10,,2.01
22-06-10,0.0,0.27
23-06-10,0.0,0.02
24-06-10,0.0,1.32
25-06-10,7.0,0.0
26-06-10,0.0,0.0
27-06-10,0.0,5.68
28-06-10,2.0,0.56
29-06-10,0.0,0.0
30-06-10,0.0,0.01
01-07-10,0.0,0.02
02-07-10,0.0,0.0
03-07-10,0.0,0.0
04-07-10,0.0,0.0
05-07-10,,0.0
06-07-10,0.0,0.02
07-07-10,,0.51
08-07-10,,0.0
09-07-10,,0.25
10-07-10,,1.17
11-07-10,,0.11
12-07-10,,0.04
13-07-10,,0.0
14-07-10,,0.07
15-07-10,,0.58
16-07-10,1.0,0.05
17-07-10,0.0,0.01
18-07-10,0.4,0.0
19-07-10,0.0,0.0
20-07-10,0.6,0.12
21-07-10,0.1,2.29
22-07-10,0.1,0.0
23-07-10,0.0,0.0
24-07-10,0.0,0.0
25-07-10,0.0,0.0
26-07-10,8.0,0.0
27-07-10,0.0,0.0
28-07-10,0.2,0.01
29-07-10,2.0,0.0
30-07-10,0.0,0.0
31-07-10,0.0,0.2
01-08-10,0.0,1.09
02-08-10,3.0,0.0
03-08-10,,0.26
04-08-10,,0.0
05-08-10,,0.0
06-08-10,,0.36
07-08-10,,0.4
08-08-10,,4.19
09-08-10,,1.14
10-08-10,,0.0
11-08-10,,0.0
12-08-10,,0.0
13-08-10,,1.19
14-08-10,,1.18
15-08-10,,0.0
16-08-10,,0.0
17-08-10,,0.0
18-08-10,,0.0
19-08-10,0.0,0.0
20-08-10,0.0,0.0
21-08-10,0.0,0.0
22-08-10,27.0,0.0
23-08-10,,0.0
24-08-10,0.0,0.0
25-08-10,0.0,0.0
26-08-10,3.0,0.0
27-08-10,0.0,0.23
28-08-10,0.0,0.53
29-08-10,43.0,1.64
30-08-10,,0.02
31-08-10,0.0,0.0
01-09-10,,9.97
02-09-10,0.0,0.0
03-09-10,6.0,0.01
04-09-10,0.1,1.4
05-09-10,1.0,0.99
06-09-10,0.0,0.54
07-09-10,6.0,0.75
08-09-10,0.3,0.1
09-09-10,0.4,0.0
10-09-10,12.0,0.16
11-09-10,,8.07
12-09-10,10.0,17.91
13-09-10,0.0,0.0
14-09-10,5.0,0.19
15-09-10,0.0,0.55
16-09-10,9.0,0.4
17-09-10,0.6,0.32
18-09-10,42.0,0.66
19-09-10,15.0,0.0
20-09-10,32.0,0.0
21-09-10,,2.76
22-09-10,1.0,0.01
23-09-10,0.2,0.01
24-09-10,0.0,0.0
25-09-10,3.0,1.24
26-09-10,0.1,3.34
27-09-10,0.0,0.47
28-09-10,,0.0
29-09-10,0.0,0.06
30-09-10,1.0,0.0
01-10-10,0.0,1.74
02-10-10,,0.0
03-10-10,0.0,1.03
04-10-10,0.0,0.06
05-10-10,,0.54
06-10-10,4.0,4.7
07-10-10,,0.02
08-10-10,,0.17
09-10-10,,2.85
10-10-10,,0.04
11-10-10,,0.0
12-10-10,,0.0
13-10-10,,0.0
14-10-10,,0.0
15-10-10,,0.0
16-10-10,4.0,0.0
17-10-10,,0.0
18-10-10,0.0,0.11
19-10-10,,0.48
20-10-10,1.0,0.03
21-10-10,0.4,1.15
22-10-10,0.2,0.33
23-10-10,0.0,0.49
24-10-10,0.0,0.02
25-10-10,3.0,0.0
26-10-10,14.0,0.32
27-10-10,2.0,0.0
28-10-10,0.0,0.0
29-10-10,3.0,0.0
30-10-10,0.0,0.0
31-10-10,,0.01
01-11-10,14.0,8.71
02-11-10,,0.18
03-11-10,0.3,3.81
04-11-10,12.0,0.0
05-11-10,0.0,0.0
06-11-10,0.0,0.07
07-11-10,0.0,0.09
08-11-10,0.0,3.55
09-11-10,0.0,0.02
10-11-10,13.0,0.02
11-11-10,,0.0
12-11-10,0.3,0.0
13-11-10,0.0,0.05
14-11-10,0.1,0.0
15-11-10,7.0,0.0
16-11-10,0.0,0.0
17-11-10,1.0,0.0
18-11-10,11.0,0.05
19-11-10,,0.04
20-11-10,0.0,0.06
21-11-10,0.0,0.0
22-11-10,0.0,0.0
23-11-10,0.0,0.0
24-11-10,0.0,0.0
25-11-10,0.0,0.0
26-11-10,0.0,0.0
27-11-10,0.2,0.0
28-11-10,,0.28
29-11-10,0.0,0.2
30-11-10,,0.2
01-12-10,2.0,1.81
01-12-10,16.0,1.81
02-12-10,,0.0
03-12-10,0.0,0.0
04-12-10,2.0,0.0
05-12-10,0.0,0.0
06-12-10,63.0,0.02
07-12-10,,0.36
08-12-10,0.0,0.91
09-12-10,0.0,0.23
10-12-10,1.0,1.14
11-12-10,8.0,0.28
12-12-10,43.0,0.03
13-12-10,5.0,0.0
14-12-10,0.6,0.0
15-12-10,0.0,0.0
16-12-10,0.0,0.0
17-12-10,4.0,0.0
18-12-10,0.0,0.0
19-12-10,0.0,0.0
20-12-10,0.0,0.0
21-12-10,0.0,0.0
22-12-10,0.0,0.0
23-12-10,3.0,0.0
24-12-10,20.0,0.38
25-12-10,2.0,1.11
26-12-10,14.0,0.0
27-12-10,0.6,0.0
28-12-10,1.0,0.0
29-12-10,0.0,0.82
30-12-10,19.0,0.55
31-12-10,2.0,0.0
01-01-11,,0.0
02-01-11,0.0,0.0
03-01-11,0.0,0.0
04-01-11,0.0,0.0
05-01-11,0.0,0.0
06-01-11,,0.0
07-01-11,1.0,0.0
08-01-11,0.0,0.0
09-01-11,0.3,0.0
10-01-11,16.0,0.0
11-01-11,0.8,0.03
12-01-11,0.0,0.67
13-01-11,3.0,0.07
14-01-11,,0.0
15-01-11,1.0,1.16
16-01-11,0.0,0.0
17-01-11,14.0,0.0
18-01-11,3.0,0.74
19-01-11,,1.25
20-01-11,3.0,0.0
21-01-11,0.0,0.22
22-01-11,0.0,0.0
23-01-11,0.0,0.02
24-01-11,0.0,0.16
25-01-11,0.0,0.0
26-01-11,0.0,0.0
27-01-11,0.0,0.0
28-01-11,0.0,0.0
29-01-11,,0.0
30-01-11,0.0,0.0
31-01-11,0.0,0.06
01-02-11,0.0,0.0
02-02-11,0.1,12.73
03-02-11,0.0,0.0
04-02-11,,0.0
05-02-11,0.0,0.0
06-02-11,0.0,0.0
07-02-11,,0.0
08-02-11,0.0,0.0
09-02-11,0.0,0.0
10-02-11,0.0,0.0
11-02-11,0.0,0.0
12-02-11,0.0,2.74
13-02-11,0.0,3.07
14-02-11,,1.39
15-02-11,0.0,0.05
16-02-11,0.0,2.7
17-02-11,0.0,3.0
18-02-11,13.0,2.89
19-02-11,3.0,0.0
20-02-11,0.0,0.0
21-02-11,0.0,0.0
22-02-11,0.0,0.0
23-02-11,3.0,0.0
24-02-11,0.0,0.0
25-02-11,0.0,0.0
26-02-11,0.0,0.0
27-02-11,,0.0
28-02-11,0.0,0.0
01-03-11,0.0,0.0
02-03-11,0.0,0.0
03-03-11,0.0,0.0
04-03-11,0.0,0.0
05-03-11,0.0,0.0
06-03-11,0.0,0.11
07-03-11,15.0,0.11
08-03-11,3.0,0.0
09-03-11,0.0,0.0
10-03-11,0.0,0.0
11-03-11,0.0,0.0
12-03-11,0.0,0.0
13-03-11,,0.0
14-03-11,,0.46
15-03-11,,0.0
16-03-11,3.0,3.69
17-03-11,0.3,1.8
18-03-11,1.0,6.98
19-03-11,5.0,30.3
20-03-11,8.0,14.1
21-03-11,,50.84
22-03-11,7.0,19.03
23-03-11,,2.79
24-03-11,0.3,1.5
25-03-11,3.0,0.0
26-03-11,0.0,0.0
27-03-11,,0.0
28-03-11,13.0,0.0
29-03-11,0.0,1.44
30-03-11,3.0,5.27
31-03-11,1.0,0.03
01-04-11,92.0,0.0
02-04-11,,0.0
03-04-11,0.0,0.0
04-04-11,0.0,0.0
05-04-11,,0.05
06-04-11,0.7,1.18
07-04-11,0.0,1.68
08-04-11,0.0,0.34
09-04-11,3.0,0.01
10-04-11,0.0,0.0
11-04-11,0.0,0.0
12-04-11,0.0,0.0
13-04-11,0.0,0.0
14-04-11,0.0,0.19
15-04-11,15.0,1.14
16-04-11,4.0,0.0
17-04-11,9.0,0.0
18-04-11,0.0,0.0
19-04-11,0.0,0.05
20-04-11,,0.44
21-04-11,2.0,0.08
22-04-11,,0.27
23-04-11,0.0,0.25
24-04-11,3.0,0.74
25-04-11,,4.63
26-04-11,0.1,4.39
27-04-11,0.0,3.14
28-04-11,,0.62
29-04-11,10.0,14.29
30-04-11,,2.06
01-05-11,0.2,7.11
02-05-11,18.0,6.01
03-05-11,13.0,6.96
04-05-11,4.0,0.0
05-05-11,0.0,10.08
06-05-11,,13.12
07-05-11,0.0,1.75
08-05-11,4.0,0.0
09-05-11,31.0,0.0
10-05-11,4.0,1.9
11-05-11,0.0,7.54
12-05-11,12.0,0.02
13-05-11,0.8,0.06
14-05-11,,0.0
15-05-11,0.0,0.0
16-05-11,0.7,0.91
17-05-11,0.0,0.72
18-05-11,0.0,4.09
19-05-11,,3.56
20-05-11,,1.83
21-05-11,0.0,0.0
22-05-11,15.0,0.0
23-05-11,0.0,0.0
24-05-11,0.0,0.22
25-05-11,,2.14
26-05-11,,2.27
27-05-11,14.0,2.26
28-05-11,0.0,0.24
29-05-11,0.0,0.0
30-05-11,0.0,0.7
31-05-11,0.0,1.83
01-06-11,19.0,1.24
02-06-11,0.0,0.02
03-06-11,0.0,1.14
04-06-11,0.0,0.12
05-06-11,9.0,0.6
06-06-11,2.0,0.0
07-06-11,,0.04
08-06-11,26.0,0.0
09-06-11,4.0,0.0
10-06-11,0.0,0.0
11-06-11,,0.0
12-06-11,3.0,0.0
13-06-11,9.0,0.8
14-06-11,0.0,0.0
15-06-11,32.0,0.01
16-06-11,0.0,0.25
17-06-11,0.0,0.51
18-06-11,,2.27
19-06-11,4.0,3.14
20-06-11,,0.96
21-06-11,2.0,2.03
22-06-11,2.0,1.03
23-06-11,0.0,1.09
24-06-11,,2.1
25-06-11,0.0,0.07
26-06-11,0.0,0.0
27-06-11,0.0,1.01
28-06-11,0.0,2.28
29-06-11,3.0,0.0
30-06-11,0.3,0.0
01-07-11,0.0,3.58
02-07-11,0.0,0.74
03-07-11,0.0,1.33
04-07-11,0.0,0.1
05-07-11,0.0,1.22
06-07-11,0.5,1.67
07-07-11,2.0,0.0
08-07-11,,0.0
09-07-11,0.1,0.0
10-07-11,0.0,0.01
11-07-11,0.0,0.0
12-07-11,0.0,0.0
13-07-11,0.0,0.0
14-07-11,0.1,0.0
15-07-11,,0.0
16-07-11,,0.0
17-07-11,,0.0
18-07-11,0.0,0.0
19-07-11,0.0,0.0
20-07-11,0.0,0.0
21-07-11,0.0,0.0
22-07-11,14.0,0.0
23-07-11,0.0,0.0
24-07-11,2.0,0.0
25-07-11,,0.0
26-07-11,0.0,0.0
27-07-11,0.0,0.0
28-07-11,0.0,1.62
29-07-11,,0.89
30-07-11,3.0,4.52
31-07-11,0.0,0.26
01-08-11,0.0,2.59
02-08-11,3.0,0.11
03-08-11,0.0,0.01
04-08-11,5.0,0.0
05-08-11,0.0,0.0
06-08-11,0.0,0.3
07-08-11,0.0,0.1
08-08-11,,0.0
09-08-11,22.0,0.0
10-08-11,0.0,0.0
11-08-11,,0.23
12-08-11,0.6,0.1
13-08-11,22.0,0.0
14-08-11,153.0,0.0
15-08-11,0.4,1.76
16-08-11,,4.92
17-08-11,10.0,23.65
18-08-11,0.0,0.0
19-08-11,0.0,0.0
20-08-11,2.0,0.0
21-08-11,0.0,0.92
22-08-11,4.0,1.13
23-08-11,0.0,0.05
24-08-11,,0.0
25-08-11,,0.8
26-08-11,,0.0
27-08-11,0.0,1.12
28-08-11,83.0,1.4
29-08-11,18.0,0.0
30-08-11,0.2,0.24
31-08-11,0.0,0.0
01-09-11,,1.23
02-09-11,6.0,2.33
03-09-11,0.0,0.0
04-09-11,0.0,1.6
05-09-11,0.0,0.59
06-09-11,16.0,5.61
07-09-11,,0.06
08-09-11,,0.09
09-09-11,,0.11
10-09-11,4.0,0.37
11-09-11,0.5,1.91
12-09-11,,0.93
13-09-11,0.0,0.0
14-09-11,0.0,0.0
15-09-11,0.5,0.0
16-09-11,2.0,0.76
17-09-11,0.0,0.08
18-09-11,,0.32
19-09-11,20.0,2.84
20-09-11,0.8,0.0
21-09-11,0.0,0.0
22-09-11,0.0,0.0
23-09-11,0.5,0.18
24-09-11,0.0,0.0
25-09-11,18.0,0.0
26-09-11,,0.3
27-09-11,0.0,0.52
28-09-11,,4.3
29-09-11,0.0,1.63
30-09-11,3.0,1.18
01-10-11,0.0,0.17
02-10-11,5.0,0.0
03-10-11,,0.02
04-10-11,6.0,1.4
05-10-11,1.0,4.89
06-10-11,21.0,2.15
07-10-11,6.0,0.01
08-10-11,,0.0
09-10-11,0.0,0.0
10-10-11,0.0,0.22
11-10-11,,0.03
12-10-11,0.0,0.78
13-10-11,0.0,1.12
14-10-11,20.2,0.22
15-10-11,7.0,0.14
16-10-11,0.0,0.14
17-10-11,0.0,0.11
18-10-11,,0.15
19-10-11,,0.01
20-10-11,45.0,0.23
21-10-11,,0.0
22-10-11,0.0,0.0
23-10-11,,0.51
24-10-11,1.0,0.12
25-10-11,12.0,1.5
26-10-11,,8.95
27-10-11,4.0,3.22
28-10-11,,1.08
29-10-11,4.0,23.87
30-10-11,0.0,0.15
31-10-11,0.0,0.0
01-11-11,0.0,13.49
02-11-11,1.0,0.15
03-11-11,48.0,5.14
04-11-11,43.0,6.21
05-11-11,0.6,5.17
06-11-11,14.0,58.29
07-11-11,2.0,0.75
08-11-11,0.0,8.72
09-11-11,2.0,24.72
10-11-11,6.0,2.96
11-11-11,1.0,0.54
12-11-11,0.4,0.31
13-11-11,15.0,0.61
14-11-11,,0.0
15-11-11,0.0,0.97
16-11-11,0.0,0.0
17-11-11,0.0,0.22
18-11-11,3.0,0.18
19-11-11,0.3,1.99
20-11-11,,4.89
21-11-11,9.0,0.55
22-11-11,0.0,0.13
23-11-11,10.0,0.09
24-11-11,33.0,16.68
25-11-11,18.0,4.06
26-11-11,,0.0
27-11-11,0.0,0.0
28-11-11,0.0,1.91
29-11-11,0.0,14.97
30-11-11,8.0,27.82
01-12-11,3.0,12.66
01-12-11,2.0,12.66
02-12-11,44.0,5.36
03-12-11,0.0,3.36
04-12-11,0.0,0.05
05-12-11,0.0,0.15
06-12-11,0.0,1.53
07-12-11,8.0,0.03
08-12-11,5.0,0.0
09-12-11,16.0,0.0
10-12-11,0.0,0.05
11-12-11,0.0,0.0
12-12-11,,0.0
13-12-11,0.0,0.27
14-12-11,0.0,0.0
15-12-11,,0.11
16-12-11,0.0,0.04
17-12-11,0.0,2.65
18-12-11,0.0,0.97
19-12-11,0.0,0.0
20-12-11,0.0,0.0
21-12-11,0.0,0.0
22-12-11,,0.0
23-12-11,,0.0
24-12-11,1.0,0.37
25-12-11,19.0,0.0
26-12-11,0.0,0.0
27-12-11,27.0,0.0
28-12-11,,0.0
29-12-11,,0.0
30-12-11,0.0,0.0
31-12-11,2.0,0.0
01-01-12,,0.0
01-01-12,,0.0
02-01-12,0.0,0.0
03-01-12,0.0,0.0
04-01-12,,0.0
05-01-12,0.0,0.0
06-01-12,0.0,0.0
07-01-12,0.0,0.0
08-01-12,0.0,0.0
09-01-12,0.0,0.0
10-01-12,0.0,0.0
11-01-12,,0.0
12-01-12,0.0,0.0
13-01-12,,0.0
14-01-12,,0.0
15-01-12,0.0,0.0
16-01-12,0.0,0.0
17-01-12,0.0,0.0
18-01-12,0.0,0.0
19-01-12,0.0,0.0
20-01-12,,0.0
21-01-12,0.0,0.0
22-01-12,0.0,0.0
23-01-12,,0.0
24-01-12,0.0,0.0
25-01-12,,0.0
26-01-12,0.0,0.0
27-01-12,0.0,0.0
28-01-12,0.0,0.0
29-01-12,0.0,0.0
30-01-12,0.0,0.0
31-01-12,0.0,0.0
01-02-12,0.0,0.0
02-02-12,0.0,0.0
03-02-12,0.0,0.0
04-02-12,0.0,0.0
05-02-12,0.0,0.0
06-02-12,0.0,0.0
07-02-12,0.0,0.0
08-02-12,0.0,0.0
09-02-12,0.0,0.0
10-02-12,0.0,0.0
11-02-12,0.0,0.0
12-02-12,0.0,0.0
13-02-12,0.4,0.0
14-02-12,0.0,0.0
15-02-12,0.0,0.0
16-02-12,0.0,0.11
17-02-12,,4.24
18-02-12,6.0,0.35
19-02-12,0.0,0.0
20-02-12,0.0,0.0
21-02-12,0.6,0.0
22-02-12,0.0,0.0
23-02-12,0.0,0.0
24-02-12,0.4,0.0
25-02-12,0.0,0.0
26-02-12,,0.24
27-02-12,3.0,0.8
28-02-12,5.0,1.27
29-02-12,28.0,1.19
01-03-12,4.0,0.62
02-03-12,5.0,1.7
03-03-12,1.0,1.45
04-03-12,,2.55
05-03-12,,0.01
06-03-12,8.0,0.21
07-03-12,0.0,0.0
08-03-12,0.0,0.0
09-03-12,0.0,0.0
10-03-12,,0.0
11-03-12,0.0,0.0
12-03-12,0.0,0.0
13-03-12,,0.0
14-03-12,0.0,0.0
15-03-12,,0.0
16-03-12,,0.0
17-03-12,0.0,0.0
18-03-12,0.0,0.0
19-03-12,0.0,0.0
20-03-12,,0.0
21-03-12,0.0,0.0
22-03-12,0.0,0.0
23-03-12,0.0,0.0
24-03-12,,0.0
25-03-12,,0.0
26-03-12,0.0,0.0
27-03-12,,0.0
28-03-12,27.0,0.0
29-03-12,,0.04
30-03-12,0.0,1.04
31-03-12,8.0,0.0
01-04-12,13.0,2.34
02-04-12,,2.62
03-04-12,0.0,0.0
04-04-12,14.0,1.1
05-04-12,2.0,0.45
06-04-12,5.0,3.66
07-04-12,3.0,3.64
08-04-12,6.0,1.17
09-04-12,0.0,0.07
10-04-12,,0.0
11-04-12,0.3,0.01
12-04-12,,4.36
13-04-12,0.6,3.98
14-04-12,0.3,2.35
15-04-12,7.0,0.34
16-04-12,5.0,4.82
17-04-12,26.0,30.36
18-04-12,0.5,6.05
19-04-12,,0.07
20-04-12,0.0,10.78
21-04-12,2.0,3.85
22-04-12,33.0,23.04
23-04-12,15.0,0.0
24-04-12,0.0,1.08
25-04-12,51.0,3.15
26-04-12,,8.27
27-04-12,55.0,10.51
28-04-12,6.0,1.16
29-04-12,32.0,2.95
30-04-12,26.0,0.2
01-05-12,0.0,3.69
02-05-12,,1.71
03-05-12,0.2,2.38
04-05-12,13.0,2.76
05-05-12,1.0,1.8
06-05-12,1.0,3.85
07-05-12,2.0,0.49
08-05-12,7.0,0.73
09-05-12,0.0,0.0
10-05-12,5.0,1.25
11-05-12,0.0,0.43
12-05-12,0.0,2.89
13-05-12,,4.9
14-05-12,16.0,3.58
15-05-12,,0.15
16-05-12,,1.65
17-05-12,11.0,2.74
18-05-12,0.0,1.44
19-05-12,1.0,2.57
20-05-12,,1.75
21-05-12,26.0,0.04
22-05-12,1.0,1.69
23-05-12,4.0,1.76
24-05-12,2.0,5.73
25-05-12,,2.77
26-05-12,0.0,0.0
27-05-12,0.0,5.73
28-05-12,,1.41
29-05-12,0.0,0.0
30-05-12,1.0,0.0
31-05-12,3.0,0.43
01-06-12,2.0,0.0
02-06-12,1.0,0.02
03-06-12,0.0,0.02
04-06-12,11.0,0.15
05-06-12,112.0,0.0
06-06-12,0.0,0.05
07-06-12,0.0,0.0
08-06-12,,0.0
09-06-12,0.0,0.08
10-06-12,,0.16
11-06-12,1.0,0.0
12-06-12,,0.01
13-06-12,0.0,0.0
14-06-12,,0.4
15-06-12,0.0,0.07
16-06-12,8.0,0.16
17-06-12,,0.31
18-06-12,,0.49
19-06-12,,0.11
20-06-12,,0.07
21-06-12,2.0,0.45
22-06-12,0.0,0.7
23-06-12,3.0,3.61
24-06-12,,4.51
25-06-12,9.0,1.02
26-06-12,1.0,3.75
27-06-12,13.0,0.21
28-06-12,0.0,0.0
29-06-12,0.0,0.05
30-06-12,0.0,0.02
01-07-12,0.0,0.28
02-07-12,0.0,0.27
03-07-12,,0.0
04-07-12,0.0,0.09
05-07-12,0.0,0.0
06-07-12,0.0,0.0
07-07-12,,0.0
08-07-12,,0.0
09-07-12,,0.0
10-07-12,0.0,0.2
11-07-12,,0.0
12-07-12,0.0,0.52
13-07-12,0.0,0.38
14-07-12,2.0,0.48
15-07-12,0.4,0.0
16-07-12,0.0,0.13
17-07-12,,0.19
18-07-12,,0.22
