day,obs_rain,wrf_rain
01-06-10,4.0,0.17
02-06-10,0.0,0.22
03-06-10,0.0,0.0
04-06-10,,1.3
05-06-10,0.2,0.02
06-06-10,,1.22
07-06-10,0.0,0.02
08-06-10,0.0,5.55
09-06-10,14.0,22.27
10-06-10,44.0,21.59
11-06-10,0.0,5.66
12-06-10,0.0,6.04
13-06-10,0.0,17.82
14-06-10,0.0,14.35
15-06-10,0.0,5.98
16-06-10,1.0,6.09
17-06-10,,4.69
18-06-10,2.0,20.97
19-06-10,,7.21
20-06-10,8.0,18.33
21-06-10,9.0,0.0
22-06-10,,2.33
23-06-10,,26.81
24-06-10,3.0,25.2
25-06-10,,13.15
26-06-10,14.0,12.49
27-06-10,,5.82
28-06-10,0.0,19.38
29-06-10,,17.14
30-06-10,0.0,4.46
01-07-10,0.2,0.86
02-07-10,1.0,5.65
03-07-10,0.3,1.62
04-07-10,0.0,5.92
05-07-10,0.0,2.54
06-07-10,0.0,8.19
07-07-10,,3.39
08-07-10,,0.88
09-07-10,,3.53
10-07-10,,2.21
11-07-10,,6.1
12-07-10,,4.99
13-07-10,,8.94
14-07-10,,9.25
15-07-10,,5.22
16-07-10,2.0,5.05
17-07-10,0.0,7.19
18-07-10,9.0,27.02
19-07-10,40.0,16.94
20-07-10,0.0,11.43
21-07-10,1.0,7.25
22-07-10,1.0,10.55
23-07-10,,6.65
24-07-10,,2.85
25-07-10,0.0,4.83
26-07-10,1.0,8.13
27-07-10,0.0,4.33
28-07-10,0.0,3.96
29-07-10,,2.04
30-07-10,0.0,5.26
31-07-10,0.0,4.81
01-08-10,0.2,0.77
02-08-10,0.0,0.3
03-08-10,,5.34
04-08-10,,5.18
05-08-10,,1.39
06-08-10,,6.45
07-08-10,,2.16
08-08-10,,5.36
09-08-10,,5.23
10-08-10,,4.31
11-08-10,,1.57
12-08-10,,12.36
13-08-10,,4.12
14-08-10,,2.27
15-08-10,,2.12
16-08-10,,4.3
17-08-10,,0.42
18-08-10,,3.6
19-08-10,0.0,0.68
20-08-10,0.0,1.84
21-08-10,,0.29
22-08-10,,1.13
23-08-10,0.0,0.97
24-08-10,0.0,0.74
25-08-10,,0.77
26-08-10,0.0,1.45
27-08-10,12.0,3.3
28-08-10,6.0,1.21
29-08-10,,3.46
30-08-10,,1.51
31-08-10,0.0,2.18
01-09-10,,0.45
02-09-10,,5.37
03-09-10,5.0,3.3
04-09-10,2.0,1.43
05-09-10,0.0,0.0
06-09-10,,0.0
07-09-10,,0.0
08-09-10,0.0,0.0
09-09-10,0.0,0.0
10-09-10,0.0,0.0
11-09-10,0.0,0.0
12-09-10,,0.28
13-09-10,2.0,0.05
14-09-10,,1.51
15-09-10,1.0,1.02
16-09-10,1.0,0.94
17-09-10,,5.09
18-09-10,,2.02
19-09-10,,1.36
20-09-10,0.0,0.38
21-09-10,,1.28
22-09-10,1.0,1.0
23-09-10,2.0,1.75
24-09-10,0.0,1.92
25-09-10,,4.01
26-09-10,0.5,2.16
27-09-10,,0.34
28-09-10,0.0,3.02
29-09-10,,0.69
30-09-10,,1.11
01-10-10,0.6,0.62
02-10-10,0.0,1.91
03-10-10,1.0,2.51
04-10-10,,1.64
05-10-10,0.0,0.0
06-10-10,0.0,0.0
07-10-10,,0.0
08-10-10,,0.6
09-10-10,,0.27
10-10-10,,0.02
11-10-10,,0.0
12-10-10,,0.0
13-10-10,,0.07
14-10-10,0.0,0.4
15-10-10,,0.22
16-10-10,0.0,0.14
17-10-10,0.0,0.31
18-10-10,,1.95
19-10-10,,0.23
20-10-10,0.0,0.42
21-10-10,0.0,1.59
22-10-10,2.0,0.33
23-10-10,,0.0
24-10-10,0.0,1.27
25-10-10,,0.15
26-10-10,1.0,0.05
27-10-10,0.0,1.11
28-10-10,0.0,0.27
29-10-10,,1.77
30-10-10,,0.54
31-10-10,0.0,1.71
01-11-10,0.0,9.78
02-11-10,0.0,8.97
03-11-10,0.0,3.69
04-11-10,17.0,0.83
05-11-10,21.0,1.09
06-11-10,2.0,0.0
07-11-10,1.0,0.0
08-11-10,,0.0
09-11-10,0.6,0.4
10-11-10,,2.15
11-11-10,0.4,1.9
12-11-10,4.0,7.49
13-11-10,2.0,8.69
14-11-10,,16.0
15-11-10,0.4,10.62
16-11-10,,0.26
17-11-10,,0.38
18-11-10,,0.0
19-11-10,,0.0
20-11-10,0.4,0.0
21-11-10,0.0,0.0
22-11-10,0.0,0.28
23-11-10,0.0,0.2
24-11-10,,0.12
25-11-10,0.0,0.07
26-11-10,0.0,0.15
27-11-10,0.0,0.0
28-11-10,0.0,0.6
29-11-10,7.0,0.0
30-11-10,0.0,0.0
01-12-10,,9.44
01-12-10,,9.44
02-12-10,0.0,9.77
03-12-10,0.0,0.07
04-12-10,0.0,1.45
05-12-10,0.0,0.55
06-12-10,0.0,0.89
07-12-10,,4.86
08-12-10,0.8,2.49
09-12-10,,0.0
10-12-10,0.0,0.0
11-12-10,110.0,0.04
12-12-10,0.0,0.39
13-12-10,0.0,2.96
14-12-10,,0.41
