day,obs_rain,wrf_rain
01-06-10,,0.0
02-06-10,,0.0
03-06-10,0.0,0.0
04-06-10,,0.0
05-06-10,,3.34
06-06-10,0.0,0.05
07-06-10,41.0,0.0
08-06-10,,0.0
09-06-10,0.7,0.0
10-06-10,0.0,0.0
11-06-10,0.0,0.0
12-06-10,0.0,0.0
13-06-10,0.0,0.0
14-06-10,0.0,0.0
15-06-10,0.0,0.0
16-06-10,0.0,0.0
17-06-10,0.0,0.0
18-06-10,0.0,0.0
19-06-10,,0.0
20-06-10,0.0,0.0
21-06-10,0.0,0.0
22-06-10,0.0,0.0
23-06-10,0.0,0.0
24-06-10,0.0,0.0
25-06-10,0.0,0.0
26-06-10,0.0,0.0
27-06-10,0.0,0.0
28-06-10,0.0,0.0
29-06-10,0.0,0.0
30-06-10,0.0,0.0
01-07-10,0.0,0.0
02-07-10,0.0,0.0
03-07-10,0.0,0.0
04-07-10,0.0,0.0
05-07-10,0.0,0.0
06-07-10,0.0,0.0
07-07-10,,0.0
08-07-10,,0.0
09-07-10,,0.0
10-07-10,,0.0
11-07-10,,0.0
12-07-10,,0.0
13-07-10,,0.0
14-07-10,,0.0
15-07-10,,0.0
16-07-10,,0.0
17-07-10,0.0,0.0
18-07-10,0.0,0.0
19-07-10,0.0,0.0
20-07-10,0.0,0.0
21-07-10,0.0,0.0
22-07-10,0.0,0.0
23-07-10,0.0,0.0
24-07-10,0.0,0.0
25-07-10,0.0,0.0
26-07-10,0.6,0.0
27-07-10,,0.0
28-07-10,,0.0
29-07-10,0.0,0.0
30-07-10,0.0,0.0
31-07-10,0.0,0.0
01-08-10,0.0,0.0
02-08-10,,0.0
03-08-10,,0.0
04-08-10,,0.0
05-08-10,,0.0
06-08-10,,0.0
07-08-10,,0.0
08-08-10,,0.0
09-08-10,,0.0
10-08-10,,0.0
11-08-10,,0.0
12-08-10,,0.0
13-08-10,,0.0
14-08-10,,0.0
15-08-10,,0.0
16-08-10,,0.0
17-08-10,,0.0
18-08-10,,0.0
19-08-10,,0.0
20-08-10,0.0,0.0
21-08-10,,0.0
22-08-10,0.0,0.0
23-08-10,0.0,0.0
24-08-10,0.0,0.0
25-08-10,0.0,0.0
26-08-10,7.0,0.0
27-08-10,0.0,0.0
28-08-10,0.0,0.0
29-08-10,0.0,0.0
30-08-10,0.0,0.0
31-08-10,0.0,0.0
01-09-10,0.0,0.0
02-09-10,0.0,0.0
03-09-10,0.0,0.0
04-09-10,0.0,0.0
05-09-10,0.0,0.0
06-09-10,0.0,0.02
07-09-10,0.0,0.0
08-09-10,0.0,0.0
09-09-10,0.0,0.0
