day,obs_rain,wrf_rain
01-06-10,0.0,0.0
02-06-10,0.0,0.12
03-06-10,4.0,2.41
04-06-10,20.0,0.73
05-06-10,,1.05
06-06-10,0.0,1.52
07-06-10,3.0,0.0
08-06-10,0.0,0.21
09-06-10,0.0,0.62
10-06-10,0.0,0.0
11-06-10,0.0,0.05
12-06-10,0.0,0.09
13-06-10,0.0,0.21
14-06-10,,0.0
15-06-10,,0.87
16-06-10,,0.55
17-06-10,,0.0
18-06-10,,0.38
19-06-10,0.0,1.09
20-06-10,0.0,0.87
21-06-10,0.0,0.05
22-06-10,0.0,0.0
23-06-10,0.0,0.04
24-06-10,0.0,0.39
25-06-10,0.0,0.17
26-06-10,0.0,0.23
27-06-10,0.0,0.05
28-06-10,0.0,0.17
29-06-10,0.0,0.08
30-06-10,0.0,0.1
01-07-10,0.0,0.29
02-07-10,,0.03
03-07-10,,0.0
04-07-10,,0.0
05-07-10,0.0,0.0
06-07-10,0.0,0.0
07-07-10,,0.0
08-07-10,,0.0
09-07-10,,0.0
10-07-10,,0.0
11-07-10,,0.1
12-07-10,,0.0
13-07-10,,0.0
14-07-10,,0.0
15-07-10,,0.0
16-07-10,,0.09
17-07-10,0.0,0.31
18-07-10,0.0,2.17
19-07-10,,0.01
20-07-10,0.0,0.0
21-07-10,,0.0
22-07-10,0.0,0.0
23-07-10,0.0,0.0
24-07-10,0.0,0.0
25-07-10,0.0,0.0
26-07-10,1.0,0.1
27-07-10,0.5,0.02
28-07-10,0.0,0.28
29-07-10,0.0,0.0
30-07-10,0.0,0.08
31-07-10,0.0,0.0
01-08-10,0.0,0.0
02-08-10,,0.0
03-08-10,,0.0
04-08-10,,0.0
05-08-10,,0.0
06-08-10,,0.0
07-08-10,,0.0
08-08-10,,0.0
09-08-10,,0.01
10-08-10,,0.0
11-08-10,,0.0
12-08-10,,0.01
13-08-10,,0.08
14-08-10,,0.0
15-08-10,,0.0
16-08-10,,0.0
17-08-10,,0.0
18-08-10,,0.0
19-08-10,,0.0
20-08-10,,0.01
21-08-10,,0.0
22-08-10,2.0,0.0
23-08-10,,0.0
24-08-10,,0.0
25-08-10,,0.0
26-08-10,,0.29
27-08-10,,0.0
28-08-10,,0.81
29-08-10,,0.1
30-08-10,,0.0
31-08-10,0.0,0.0
01-09-10,0.0,0.46
02-09-10,,0.0
03-09-10,0.0,0.0
04-09-10,,1.51
05-09-10,3.0,0.46
06-09-10,,0.0
07-09-10,,0.0
08-09-10,,0.0
09-09-10,0.0,0.0
10-09-10,0.0,0.77
11-09-10,,1.75
12-09-10,,0.01
13-09-10,0.0,0.0
14-09-10,0.0,0.0
15-09-10,,0.0
16-09-10,,0.27
17-09-10,,0.01
18-09-10,,0.08
19-09-10,,0.0
20-09-10,,0.64
21-09-10,,0.24
22-09-10,,0.0
23-09-10,,0.0
24-09-10,,0.0
25-09-10,,0.13
26-09-10,,0.02
27-09-10,,0.52
28-09-10,2.0,0.0
29-09-10,,0.0
30-09-10,,0.0
01-10-10,,0.45
02-10-10,0.0,0.0
03-10-10,0.0,0.12
04-10-10,0.0,2.16
05-10-10,,5.22
06-10-10,,0.0
07-10-10,,0.0
08-10-10,,0.0
09-10-10,,0.15
10-10-10,,0.0
11-10-10,,0.0
12-10-10,,0.0
13-10-10,,0.0
14-10-10,,0.0
15-10-10,0.0,0.0
16-10-10,,0.0
17-10-10,,0.0
18-10-10,,0.0
19-10-10,,0.0
20-10-10,,0.0
21-10-10,0.0,1.11
22-10-10,,2.69
23-10-10,,1.22
24-10-10,0.6,0.05
25-10-10,0.4,1.71
26-10-10,1.0,1.26
27-10-10,,0.0
28-10-10,0.0,0.0
29-10-10,0.0,0.0
30-10-10,0.0,0.0
31-10-10,0.0,0.0
01-11-10,,6.07
02-11-10,15.0,4.43
03-11-10,,0.89
04-11-10,4.0,0.35
05-11-10,0.5,0.11
06-11-10,2.0,0.06
07-11-10,0.7,0.02
08-11-10,1.0,0.91
09-11-10,13.0,0.0
10-11-10,6.0,0.0
11-11-10,0.2,0.0
12-11-10,,0.01
13-11-10,6.0,0.02
14-11-10,,0.27
15-11-10,7.0,0.87
16-11-10,,0.05
17-11-10,0.0,0.0
18-11-10,15.0,0.0
19-11-10,0.0,0.0
20-11-10,0.0,0.0
21-11-10,0.0,0.02
22-11-10,0.0,0.03
23-11-10,,0.0
24-11-10,0.0,0.0
25-11-10,0.0,0.16
26-11-10,2.0,0.15
27-11-10,4.0,0.08
28-11-10,1.0,0.03
29-11-10,,4.77
30-11-10,0.0,6.24
01-12-10,0.0,2.1
01-12-10,,2.1
02-12-10,7.0,0.07
03-12-10,2.0,0.0
04-12-10,6.0,0.0
05-12-10,0.5,0.69
06-12-10,,4.91
07-12-10,0.0,8.1
08-12-10,0.0,7.56
09-12-10,0.0,0.03
10-12-10,5.0,0.0
11-12-10,0.2,0.0
12-12-10,0.2,0.1
13-12-10,4.0,0.0
14-12-10,0.0,0.08
15-12-10,0.0,0.01
16-12-10,0.0,0.55
17-12-10,0.0,0.0
18-12-10,0.0,0.0
19-12-10,0.0,0.0
20-12-10,0.0,0.0
21-12-10,0.0,0.0
22-12-10,0.0,0.01
23-12-10,0.0,0.91
24-12-10,59.0,2.46
25-12-10,,0.52
26-12-10,3.0,0.03
27-12-10,2.0,0.17
28-12-10,3.0,0.01
29-12-10,20.0,0.05
30-12-10,0.0,0.01
31-12-10,,0.0
01-01-11,,0.03
02-01-11,,0.12
03-01-11,0.0,0.25
04-01-11,0.0,0.15
05-01-11,0.0,0.0
06-01-11,0.0,0.0
07-01-11,,0.0
08-01-11,0.0,0.0
09-01-11,0.0,0.0
10-01-11,0.0,0.0
11-01-11,,0.0
12-01-11,0.0,0.22
13-01-11,0.0,0.12
14-01-11,0.0,0.0
15-01-11,,0.1
16-01-11,0.0,0.04
17-01-11,0.0,0.0
18-01-11,0.0,0.0
19-01-11,0.0,0.02
20-01-11,0.0,0.0
21-01-11,0.0,0.0
22-01-11,,0.0
23-01-11,0.0,0.09
24-01-11,2.0,0.11
25-01-11,,0.0
26-01-11,0.0,0.0
27-01-11,0.0,0.0
28-01-11,0.0,0.0
29-01-11,0.0,0.0
30-01-11,0.0,1.15
31-01-11,0.0,2.7
01-02-11,0.0,0.18
02-02-11,,0.1
03-02-11,0.0,0.0
04-02-11,0.0,0.0
05-02-11,0.0,0.0
06-02-11,0.0,0.0
07-02-11,0.0,0.0
08-02-11,0.0,0.0
09-02-11,0.0,0.0
10-02-11,0.0,0.0
11-02-11,0.0,0.0
12-02-11,0.0,2.22
13-02-11,0.0,1.28
14-02-11,,11.28
15-02-11,4.0,3.52
16-02-11,45.0,5.73
17-02-11,0.0,10.26
18-02-11,2.0,1.12
19-02-11,0.0,0.0
20-02-11,0.0,0.0
21-02-11,,0.0
22-02-11,0.0,0.28
23-02-11,0.0,0.04
24-02-11,0.0,0.11
25-02-11,0.0,0.0
26-02-11,0.0,0.0
