day,obs_rain,wrf_rain
01-06-10,,0.03
02-06-10,0.0,0.0
03-06-10,0.0,0.0
04-06-10,0.0,0.0
05-06-10,0.0,0.0
06-06-10,0.0,0.0
07-06-10,,0.0
08-06-10,0.0,0.0
09-06-10,0.0,0.0
10-06-10,0.0,0.77
11-06-10,0.0,0.07
12-06-10,0.0,1.67
13-06-10,0.0,0.64
14-06-10,0.0,0.2
15-06-10,0.0,0.05
16-06-10,0.0,0.05
17-06-10,0.0,0.1
18-06-10,0.0,0.0
19-06-10,,0.0
20-06-10,0.0,0.0
21-06-10,0.0,0.0
22-06-10,0.0,0.0
23-06-10,0.0,0.0
24-06-10,0.0,0.28
25-06-10,0.0,0.0
26-06-10,0.0,0.0
27-06-10,0.0,0.0
28-06-10,0.0,0.0
29-06-10,0.0,0.0
30-06-10,0.0,0.02
01-07-10,2.0,0.09
02-07-10,,0.01
03-07-10,0.0,0.01
04-07-10,0.0,0.0
05-07-10,0.0,0.0
06-07-10,0.0,0.0
07-07-10,,0.0
08-07-10,,0.0
09-07-10,,0.0
10-07-10,,0.0
11-07-10,,0.0
12-07-10,,0.0
13-07-10,,0.33
14-07-10,,0.0
15-07-10,,0.0
16-07-10,,0.61
17-07-10,0.0,0.54
18-07-10,0.0,0.08
19-07-10,0.0,0.0
20-07-10,0.0,0.0
21-07-10,0.0,0.06
22-07-10,0.0,0.15
23-07-10,0.0,0.0
24-07-10,0.0,0.56
25-07-10,0.0,0.37
26-07-10,0.0,0.11
27-07-10,0.0,0.0
28-07-10,0.0,0.05
29-07-10,0.0,0.01
30-07-10,,0.31
31-07-10,0.0,0.07
01-08-10,0.0,0.0
01-08-10,0.0,0.0
02-08-10,,0.14
03-08-10,,0.76
04-08-10,,0.04
05-08-10,,0.0
06-08-10,,0.0
07-08-10,,0.0
08-08-10,,0.0
09-08-10,,0.0
10-08-10,,0.03
11-08-10,,0.09
12-08-10,,0.0
13-08-10,,0.0
14-08-10,,0.0
15-08-10,,0.0
16-08-10,,0.0
17-08-10,,0.0
18-08-10,,0.0
19-08-10,,0.0
20-08-10,0.0,0.0
21-08-10,,0.0
22-08-10,0.0,0.0
23-08-10,0.0,0.01
24-08-10,0.0,0.3
25-08-10,0.0,0.04
26-08-10,0.0,0.45
27-08-10,0.0,0.81
28-08-10,0.0,2.14
29-08-10,0.0,0.48
30-08-10,,0.42
31-08-10,1.0,0.12
31-08-10,1.0,0.12
01-09-10,0.0,0.0
01-09-10,0.0,0.0
02-09-10,0.0,0.15
03-09-10,0.0,0.04
04-09-10,0.0,1.03
05-09-10,0.0,0.01
06-09-10,0.0,0.0
07-09-10,0.0,0.0
08-09-10,0.0,0.0
09-09-10,0.0,0.0
10-09-10,0.0,0.0
11-09-10,0.0,0.0
12-09-10,0.0,0.04
13-09-10,0.0,0.0
14-09-10,0.0,0.6
15-09-10,0.0,0.0
16-09-10,0.0,0.0
17-09-10,0.0,0.0
18-09-10,0.0,0.0
19-09-10,0.0,0.0
20-09-10,0.0,0.0
21-09-10,0.0,0.0
22-09-10,0.0,0.0
23-09-10,0.0,0.0
24-09-10,0.0,0.0
25-09-10,0.0,0.18
26-09-10,0.0,0.0
27-09-10,0.0,0.0
28-09-10,0.0,0.0
29-09-10,0.0,0.03
